"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-75.53127299999994 6.150630000000035)","LAS PALMAS","Km. 5 RUTA 5601 Vía Medellín -  La Ceja","Glorieta Las Palmas - La Unión","Oriente – Occidente","0","0","(4) 4446178 - 2228085 - 4602225","(4) 4446178 - 2228085 - 4602225","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","12,200","14,700","14,700","14,700","32,300","43,300","48,500","0","0","0","0","0","6,400","7,300","5,000","0","0","0","200","0","200","200","0","0","2","106","5601","0","0","0","6.15067302","6.15067302","Concesión Túnel Aburrá - Oriente S.A.","1"
"POINT (-72.57131999999996 7.721372000000031)","LOS ACACIOS","Km 119+900","Pamplona - Cúcuta","Aplica en ambos sentidos","118","1,646","3203452139","(7) 5767878","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","7,900","11,100","24,700","31,800","36,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","105","5505","8,800","8,500","6,300","7.72138208","7.72138208","CONCESIÓN UNIÓN  VIAL RÍO PAMPLONITA","18"
"POINT (-75.59884599999998 5.048662000000036)","SANTAGUEDA","Cruce Guayacanes – La Manuela Km 6","Chinchiná - La Manuela","Ambos sentidos de circulación","6","1,092","3138176567 #850","(6) 3282720","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","14,600","17,500","17,500","17,500","42,600","53,200","61,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","43","29CL03","0","0","0","5.04864826","5.04864826","CONCESIÓN AUTOPISTAS DEL CAFE","5"
"POINT (-76.25338315999994 3.972040719000063)","BETANIA","Km 14 Vía Aguasclaras – Ocaña","Aguaclara - Río de Oro","Sur - Norte // Norte - Sur","78","131","3155602442","3155602442","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","8,200","10,600","25,000","34,000","37,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","35","25505","0","0","0","3.97204072","3.97204072","PISA Proyectos de Infraestructura S.A.","25"
"POINT (-73.59670299999993 4.194172000000037)","PUENTE AMARILLO","Conexión Anillo vial Cumaral Km 7+135","Cumaral - Barranca de Upía","Bidireccional","7","133","3178942293  - 018000180818","3168341260","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","4,800","16,000","10,200","16,000","22,600","30,100","34,100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","120","6510","0","0","0","4.19414181","4.19414181","Concesión Vial del Oriente - COVIORIENTE S.A.S","16"
"POINT (-74.88053099999996 4.2455020000000445)","CHICORAL","Km. 17+0350 de la ruta 4004B que corresponde a la vía Variante de Chicoral","Variante Chicoral","Aplica en ambos sentidos de circulación","0","6,493","3212087489","3138863287","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","13,800","15,100","13,800","17,900","36,100","48,000","53,000","0","0","0","0","0","5,900","0","0","0","0","0","0","0","0","0","0","0","2","52","4004B","10,100","9,900","7,100","4.2454536","4.2454536","Concesionaria San Rafael  S.A.","24"
"POINT (-73.46328699999998 4.056970000000035)","LA LIBERTAD","Vía Villavicencio – Puerto López Km 18+900","Villavicencio - Paso por el Puente sobre el Río La Balsa -Puerto Lopez","Oriente","17","585","3223472204 - #765","(8) 6700868 – 3115615494","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","16,900","32,700","26,200","43,100","63,700","83,600","95,900","0","0","6,100","0","0","0","7,900","0","0","0","0","0","0","0","0","0","0","2","59","4007","0","0","0","4.05685996","4.05685996","Concesión Autopistas de los Llanos","16"
"POINT (-75.76372499999997 8.630711000000076)","PURGATORIO","Via Planeta Rica – Montería Km 32+500 Recorrido 49 KMS","Caucasia - Planeta Rica","Aplica en ambos sentido de circulación","32","672","0947911207","3116346239 - 3116346139","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","16,100","23,700","23,700","23,700","42,700","67,800","78,000","0","0","0","0","0","0","8,400","2,500","0","0","400","12,500","10,400","10,400","0","0","0","2","6","2513","0","0","0","8.63065943","8.63065943","Concesión Ruta al Mar","11"
"POINT (-74.45699199999996 6.294714000000056)","ZAMBITO","Vía Rio Ermitaño La Lizama Km 6","Río Ermitaño - La Lizama","Aplica en ambos sentido de circulación","9","300",,"3165298178","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3920.pdf","13,500","17,000","39,500","47,300","55,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","71","4511","11,000","10,800","7,800","6.29471399","6.29471399","Concesionaria Ruta Del Sol","22"
"POINT (-77.40865520399996 1.0872841020000692)","EL PLACER 2","A un Kilometro del Municipio de Tangua Km. 56+050","Puente Internacional Rumichaca - San Juan de Pasto","Aplica en ambos sentidos de circulación","56","81","Móvil1: 3174275839 -  atiende los municipios Ipiales -  Contadero e Iles Móvil 2: 3174042366 -  atiende a los Municipios de Imués -  Yacuanquer -  Tangua y Pasto","3173682092 – 3173310921","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","12,300","15,000","29,500","36,900","39,800","0","0","0","0","0","0","0","0","5,800","0","0","0","0","7,600","0","0","0","0","0",,"9","2501","0","0","0","1.0872841","1.0872841","Concesionaria Víal Uníon del Sur","17"
